IDfg,Season,Age,G,PA
3516,2021,31,151,565
6887,2020,33,47,165
21987,2022,23,71,278
9368,2020,34,53,209
4418,2021,37,139,512
19252,2023,28,111,338
15149,2022,30,143,587
12861,2022,32,47,193
3473,2023,33,99,421
17232,2020,25,52,231
23800,2023,23,37,145
18042,2019,26,113,282
9927,2021,37,140,461
25976,2022,21,93,418
10950,2022,33,86,315
3298,2021,32,91,271
24655,2023,26,90,314
7739,2021,32,60,229
29931,2023,23,33,121
16417,2021,24,89,255
17992,2021,27,157,665
16725,2021,28,89,302
9774,2023,32,102,355
10847,2021,31,131,451
19339,2022,27,142,480
18607,2020,26,32,108
23359,2023,24,53,179
15653,2019,24,89,197
18373,2020,23,35,140
13499,2023,32,47,159
15124,2020,27,33,82
15279,2021,30,71,250
17766,2023,29,58,185
27555,2022,23,28,68
13590,2019,25,113,384
19260,2022,27,68,247
5000,2019,34,99,280
7859,2023,36,96,413
16909,2020,27,52,200
18373,2021,24,144,586
14566,2020,24,59,241
5297,2020,30,54,211
17350,2020,23,57,248
26289,2022,21,34,132
15291,2019,27,34,50
4314,2019,35,142,608
11899,2023,31,121,425
19977,2021,26,30,107
9433,2019,31,35,101
7304,2022,32,114,473
19293,2019,24,104,414
14128,2023,29,111,332
12510,2019,30,84,236
18564,2019,22,51,183
10762,2021,32,109,365
22664,2022,22,25,73
19892,2021,25,145,545
3892,2019,32,141,550
16530,2020,25,54,177
17929,2020,25,48,153
12282,2019,25,145,581
16376,2023,30,125,470
25055,2022,25,44,122
10472,2019,27,130,460
12325,2021,31,94,302
21501,2022,25,51,180
20321,2023,27,97,255
4579,2021,31,87,346
15487,2020,25,57,213
9627,2019,31,97,358
2396,2020,34,60,255
15124,2019,26,91,250
14773,2021,25,89,251
2396,2022,36,131,506
15937,2022,31,92,327
18036,2023,29,127,522
15082,2019,27,89,248
5254,2019,29,138,482
10200,2020,29,38,110
20505,2023,24,98,337
6887,2019,32,105,374
12158,2020,30,29,104
24655,2022,25,130,472
17338,2022,25,112,392
24618,2022,25,67,236
22458,2023,26,99,349
19392,2022,27,57,185
17232,2022,27,104,433
9627,2022,34,86,293
17992,2022,28,61,228
23792,2022,22,113,411
16725,2023,30,55,168
16939,2019,23,34,44
19290,2020,25,23,76
17954,2019,25,27,87
22471,2022,22,18,59
19966,2020,25,23,92
19363,2019,23,21,75
18316,2020,26,32,83
16472,2020,27,41,185
12510,2020,31,31,93
3516,2020,30,38,156
6012,2020,30,60,237
18067,2022,29,50,121
12775,2020,30,48,171
30011,2023,23,63,241
15585,2023,30,84,251
10243,2020,28,55,231
26031,2022,21,41,156
13419,2020,29,57,243
12155,2020,28,57,231
18889,2022,28,31,106
3142,2021,37,45,112
12775,2021,31,140,377
16556,2020,23,29,124
8418,2019,29,84,236
22581,2021,22,60,189
19522,2022,26,72,258
5209,2019,35,150,633
7539,2019,33,115,381
15117,2020,28,44,186
19262,2023,28,98,252
19813,2022,26,48,169
19878,2019,23,67,242
13367,2019,28,93,393
15711,2023,28,72,266
13768,2021,30,76,157
18795,2023,29,116,396
16947,2021,25,49,150
