IDfg,Season,Age,G,PA,TBF
1013960,1995,28,65,251,
1009778,1993,27,139,521,
1006174,1994,34,36,106,
1007516,1997,31,109,397,
1009004,1996,34,64,245,
1011400,1994,33,59,151,
1001583,1994,29,68,141,
1003974,1994,26,86,339,
1006347,1994,31,52,159,
1762,1996,27,95,301,
1003048,1997,35,42,176,
1006809,1997,27,73,151,
409,1993,22,47,192,
1406,1996,36,59,240,
1390,1995,34,143,604,
584,1994,28,88,242,
1006381,1997,28,136,524,
1000900,1995,30,141,616,
1406,1995,35,133,581,
916,1997,27,114,395,
1012282,1993,27,148,527,
52,1997,26,51,189,
993,1996,22,130,471,
1381,1996,25,151,591,
1006815,1994,29,110,476,
968,1997,30,39,121,
688,1995,25,93,268,
1006432,1997,29,101,348,
1011730,1993,31,120,471,
1189,1996,27,140,615,
584,1996,30,129,447,
1005525,1997,32,100,398,
1012059,1994,35,76,279,
123,1996,28,100,246,
1206,1997,29,129,476,
1013960,1994,27,100,358,
1043,1996,32,66,204,
1009685,1993,33,67,208,
1000524,1995,27,90,288,
129,1997,31,153,560,
1013996,1994,29,49,196,
1010211,1993,32,96,116,
1002289,1995,31,36,113,
658,1993,26,67,242,
1006131,1994,33,56,136,
1406,1997,37,74,318,
1011987,1995,28,50,138,
1001168,1996,33,159,693,
1002277,1994,31,86,249,
1003520,1997,32,76,151,
51,1994,24,47,168,
1550,1996,22,46,106,
1000910,1996,30,132,469,
1013718,1994,29,57,166,
1012845,1996,27,108,359,
1009685,1994,34,51,172,
1167,1995,27,124,486,
635,1996,25,108,393,
54,1997,32,143,615,
1004448,1993,32,99,229,
1009040,1995,38,130,598,
1254,1996,30,77,257,
1006372,1993,29,92,269,
1008513,1997,38,122,323,
1000645,1993,34,111,258,
1005272,1995,30,112,459,
48,1995,29,138,593,
658,1994,27,53,197,
1006812,1994,26,93,329,
1013404,1996,25,73,308,
1012849,1995,24,63,211,
280,1996,31,124,471,
1153,1994,24,94,322,
1006372,1996,32,71,306,
175,1997,28,133,498,
1004822,1995,29,53,149,
286,1994,26,114,513,
221,1996,30,127,444,
83,1995,25,52,170,
90,1996,30,39,96,
1088,1994,29,104,400,
1178,1997,20,154,691,
1001062,1995,29,115,504,
562,1996,25,132,553,
1004570,1995,25,136,585,
349,1993,28,36,97,
513,1996,20,41,180,
1003322,1994,26,112,421,
1009827,1995,31,88,260,
1009268,1994,25,99,345,
1013675,1995,24,21,41,
1010211,1994,33,60,92,
1000946,1996,32,159,694,
1012282,1996,30,143,542,
