player_name,team,fa_class,position,minor_league_level,first_name_lower,last_name_lower,normed_position
Blake Johnson,Los Angeles Dodgers,2013,RHP,AAA,blake,johnson,pitcher
Anthony Ortega,Los Angeles Dodgers,2013,RHP,AAA,anthony,ortega,pitcher
Matt Palmer,Los Angeles Dodgers,2013,RHP,AAA,matt,palmer,pitcher
Mario Santiago*,Los Angeles Dodgers,2013,RHP,AAA,mario,santiago*,pitcher
Daniel Tamares,Los Angeles Dodgers,2013,RHP,Lo A,daniel,tamares,pitcher
Luis Vasquez,Los Angeles Dodgers,2013,RHP,AAA,luis,vasquez,pitcher
Sean White,Los Angeles Dodgers,2013,RHP,AAA,sean,white,pitcher
Kelvin de la Cruz,Los Angeles Dodgers,2013,LHP,AAA,kelvin,de la cruz,pitcher
Thomas Melgarejo,Los Angeles Dodgers,2013,LHP,AA,thomas,melgarejo,pitcher
Jonathan Sanchez,Los Angeles Dodgers,2013,LHP,AAA,jonathan,sanchez,pitcher
Eliezer Alfonzo,Los Angeles Dodgers,2013,C,AAA,eliezer,alfonzo,batter
Damaso Espino,Los Angeles Dodgers,2013,C,AAA,damaso,espino,batter
J.R. Towles,Los Angeles Dodgers,2013,C,AAA,j.r.,towles,batter
Matt Wallach,Los Angeles Dodgers,2013,C,AA,matt,wallach,batter
Sean Burroughs,Los Angeles Dodgers,2013,1B,AAA,sean,burroughs,batter
Rafael Ynoa,Los Angeles Dodgers,2013,2B,AA,rafael,ynoa,batter
Brian Barden,Los Angeles Dodgers,2013,3B,AAA,brian,barden,batter
Pedro Guerrero,Los Angeles Dodgers,2013,3B,AA,pedro,guerrero,batter
Ryan Mount,Los Angeles Dodgers,2013,3B,AA,ryan,mount,batter
Matt Angle,Los Angeles Dodgers,2013,OF,AAA,matt,angle,batter
Tony Gwynn Jr.,Los Angeles Dodgers,2013,OF,AAA,tony,gwynn jr.,batter
Jeremy Moore,Los Angeles Dodgers,2013,OF,AAA,jeremy,moore,batter
Jonathan Albaladejo,Miami Marlins,2013,RHP,AAA,jonathan,albaladejo,pitcher
Jose Ceda,Miami Marlins,2013,RHP,AAA,jose,ceda,pitcher
Jay Jackson,Miami Marlins,2013,RHP,AAA,jay,jackson,pitcher
Adam Reifer,Miami Marlins,2013,RHP,AAA,adam,reifer,pitcher
Rob Waite,Miami Marlins,2013,RHP,AAA,rob,waite,pitcher
Ramon Benjamin*,Miami Marlins,2013,LHP,AA,ramon,benjamin*,pitcher
Jose Ceballos*,Miami Marlins,2013,C,Hi A,jose,ceballos*,batter
Ben Lasater,Miami Marlins,2013,1B,AAA,ben,lasater,batter
Joe Mahoney,Miami Marlins,2013,1B,AAA,joe,mahoney,batter
Kevin Kouzmanoff,Miami Marlins,2013,3B,AAA,kevin,kouzmanoff,batter
Audy Ciriaco,Miami Marlins,2013,SS,AA,audy,ciriaco,batter
Chris Gutierrez,Miami Marlins,2013,SS,AA,chris,gutierrez,batter
Rony Peralta,Miami Marlins,2013,SS,Hi A,rony,peralta,batter
Michael Main,Miami Marlins,2013,OF,AA,michael,main,batter
Jake Smolinski,Miami Marlins,2013,OF,AAA,jake,smolinski,batter
Frankie de la Cruz,Milwaukee Brewers,2013,RHP,AA,frankie,de la cruz,pitcher
Tim Dillard,Milwaukee Brewers,2013,RHP,AAA,tim,dillard,pitcher
Johnnie Lowe,Milwaukee Brewers,2013,RHP,AAA,johnnie,lowe,pitcher
Santo Manzanillo,Milwaukee Brewers,2013,RHP,AAA,santo,manzanillo,pitcher
Josh Ravin,Milwaukee Brewers,2013,RHP,AAA,josh,ravin,pitcher
Mark Rogers,Milwaukee Brewers,2013,RHP,Hi A,mark,rogers,pitcher
Jesus Sanchez,Milwaukee Brewers,2013,RHP,AAA,jesus,sanchez,pitcher
