player_name,team,fa_class,position,minor_league_level
Rony Peralta,Miami Marlins,2014,SS,Hi A
Michael Main,Miami Marlins,2014,OF,AA
Jake Smolinski,Miami Marlins,2014,OF,AAA
Frankie de la Cruz,Milwaukee Brewers,2014,RHP,AA
Tim Dillard,Milwaukee Brewers,2014,RHP,AAA
Johnnie Lowe,Milwaukee Brewers,2014,RHP,AAA
Santo Manzanillo,Milwaukee Brewers,2014,RHP,AAA
Josh Ravin,Milwaukee Brewers,2014,RHP,AAA
Mark Rogers,Milwaukee Brewers,2014,RHP,Hi A
Jesus Sanchez,Milwaukee Brewers,2014,RHP,AAA
R.J. Seidel,Milwaukee Brewers,2014,RHP,AAA
Zach Kroenke,Milwaukee Brewers,2014,LHP,AAA
Aaron Laffey,Milwaukee Brewers,2014,LHP,AAA
Travis Webb,Milwaukee Brewers,2014,LHP,AAA
Anderson de la Rosa,Milwaukee Brewers,2014,C,AAA
Ozzie Chavez,Milwaukee Brewers,2014,SS,AAA
Blake Davis,Milwaukee Brewers,2014,SS,AAA
Brock Kjeldgaard,Milwaukee Brewers,2014,OF,AA
Micah Owings,Milwaukee Brewers,2014,OF,AA
Rene Tosoni,Milwaukee Brewers,2014,OF,AA
Nick Blackburn,Minnesota Twins,2014,RHP,AAA
Kyle Davies,Minnesota Twins,2014,RHP,AA
Cole DeVries,Minnesota Twins,2014,RHP,AAA
Deolis Guerra*,Minnesota Twins,2014,RHP,AAA
Miguel Munoz,Minnesota Twins,2014,RHP,Hi A
Dan Sattler,Minnesota Twins,2014,RHP,AA
Manuel Soliman,Minnesota Twins,2014,RHP,Hi A
Tom Stuifbergen,Minnesota Twins,2014,RHP,AA
Dan Turpen,Minnesota Twins,2014,RHP,AA
Nelvin Fuentes,Minnesota Twins,2014,LHP,Hi A
Pedro Hernandez,Minnesota Twins,2014,LHP,AAA
Jeff Clement,Minnesota Twins,2014,1B,AAA
Eric Farris,Minnesota Twins,2014,2B,AAA
Ray Olmedo,Minnesota Twins,2014,SS,AAA
Brian Dinkelman,Minnesota Twins,2014,OF,AAA
Jhonathan Goncalves,Minnesota Twins,2014,OF,Hi A
Angel Morales,Minnesota Twins,2014,OF,AA
Jordan Parraz,Minnesota Twins,2014,OF,AA
Antoan Richardson,Minnesota Twins,2014,OF,AAA
Giancarlo Alvarado,New York Mets,2014,RHP,AAA
Greg Burke,New York Mets,2014,RHP,AAA
Matt Fox,New York Mets,2014,RHP,AAA
D.J. Mitchell,New York Mets,2014,RHP,AAA
Dylan Owen,New York Mets,2014,RHP,AA
Armando Rodriguez,New York Mets,2014,RHP,AA
Daryl Thompson,New York Mets,2014,RHP,AAA
Cory Wade,New York Mets,2014,RHP,AAA
Justin Hampson,New York Mets,2014,LHP,AAA
Jeyckol De Leon,New York Mets,2014,C,SS
Francisco Pena,New York Mets,2014,C,AAA
Rhyne Hughes,New York Mets,2014,1B,AA
Richard Lucas,New York Mets,2014,3B,AA
Brian Bixler,New York Mets,2014,SS,AAA
Brandon Hicks,New York Mets,2014,SS,AAA
Josh Rodriguez,New York Mets,2014,SS,AA
Jamie Hoffmann,New York Mets,2014,OF,AAA
Cory Arbiso,New York Yankees,2014,RHP,AA
Sam Demel,New York Yankees,2014,RHP,AAA
Yoshinori Tateyama,New York Yankees,2014,RHP,AAA
Bobby Wilson,New York Yankees,2014,C,AAA
Andrew Clark,New York Yankees,2014,1B,AA
Randy Ruiz,New York Yankees,2014,1B,AAA
Reegie Corona,New York Yankees,2014,2B,AA
Walter Ibarra,New York Yankees,2014,SS,AAA
Fernando Martinez,New York Yankees,2014,OF,AAA
Corey Patterson,New York Yankees,2014,OF,AAA
Travis Banwart,Oakland Athletics,2014,RHP,AAA
Bruce Billings,Oakland Athletics,2014,RHP,AAA
Darren Byrd,Oakland Athletics,2014,RHP,Hi A
Andrew Carignan*,Oakland Athletics,2014,RHP,AAA
Drew Carpenter,Oakland Athletics,2014,RHP,AA
Mike DeMark,Oakland Athletics,2014,RHP,AA
