internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position,position_cat,chadwick_returned
118,Cody Satterwhite,WSN,Satterwhite,Cody,2018,,satter001cod,,,2008,2018,RHP,pitcher,one
338,Kyle Schepel,WSN,Schepel,Kyle,2018,,schepe000kyl,,,2012,2018,RHP,pitcher,one
510,Tim Collins,WSN,Collins,Tim,2018,3164,collin004tim,2011,2019,2007,2019,LHP,pitcher,one
409,Neal Cotts,WSN,Cotts,Neal,2018,1797,cotts-001nea,2003,2015,2001,2017,LHP,pitcher,one
64,Braulio Lara,WSN,Lara,Braulio,2018,,lara--001bra,,,2008,2018,LHP,pitcher,one
154,Devin Ivany,WSN,Ivany,Devin,2018,,ivany-001dev,,,2004,2013,C,batter,one
27,Andruth Ramirez,WSN,Ramirez,Andruth,2018,,ramire002and,,,2008,2013,C,batter,one
379,Matt Skole,WSN,Skole,Matt,2018,12119,skole-000mat,2018,2019,2011,2019,1B,batter,one
63,Brandon Snyder,WSN,Snyder,Brandon,2018,9856,snyder002bra,2010,2018,2005,2021,1B,batter,one
411,Neftali Soto,WSN,Soto,Neftali,2018,5663,soto--001nef,2013,2014,2007,2024,1B,batter,one
182,Emmanuel Burriss,WSN,Burriss,Emmanuel,2018,2917,burris001emm,2008,2016,2006,2018,2B,batter,one
124,Corban Joseph,WSN,Joseph,Corban,2018,5503,joseph001cor,2013,2019,2008,2021,2B,batter,one
385,Michael Almanzar,WSN,Almanzar,Michael,2018,,almanz001mic,,,2008,2018,3B,batter,one
364,Mario Lisson,WSN,Lisson,Mario,2018,,lisson001mar,,,2002,2017,3B,batter,one
52,Benji Gonzalez,WSN,González,Benji,2018,,gonzal004ben,,,2008,2019,SS,batter,one
276,Joey Butler,WSN,Butler,Joey,2018,7799,butler001joe,2013,2015,2008,2017,OF,batter,one
92,Chad Huffman,WSN,Huffman,Chad,2018,5311,huffma001cha,2010,2017,2006,2018,OF,batter,one
