internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position_cat,chadwick_returned
3413,Lars Anderson,LAD,Anderson,Lars,2017,9018,anders002lar,2010,2012,2007,2017,batter,one
3099,Josmar Cordero,LAD,Cordero,Josmar,2017,,corder002jos,,,2010,2022,batter,one
1217,Dalton DiNatale,LAD,DiNatale,Dalton,2017,,dinata000dal,,,2015,2016,batter,one
583,Brandon Hicks,LAD,Hicks,Brandon,2017,4003,hicks-001bra,2010,2014,2007,2016,batter,one
4188,Noah Perio,LAD,Perio,Noah,2017,,perio-001der,,,2009,2024,batter,one
5642,Zach Walters,LAD,Walters,Zach,2017,10622,walter001zac,2013,2016,2010,2018,batter,one
1549,Drew Maggi,LAD,Maggi,Drew,2017,11381,maggi-001and,2023,2023,2010,2024,batter,one
1152,Corey Brown,LAD,Brown,Corey,2017,2650,brown-002cor,2011,2014,2007,2018,batter,one
155,Alex Hassan,LAD,Hassan,Alex,2017,9959,hassan001ale,2014,2014,2009,2016,batter,one
4552,Rico Noel,LAD,Noel,Rico,2017,10585,noel--001jab,2015,2015,2010,2022,batter,one
5453,Will Venable,LAD,Venable,Will,2017,211,venabl001wil,2008,2016,2005,2016,batter,one
1601,Dylan Axelrod,MIA,Axelrod,Dylan,2017,9303,axelro001dyl,2011,2015,2007,2016,pitcher,one
4712,Ryan Chaffee,MIA,Chaffee,Ryan,2017,,chaffe001rya,,,2009,2021,pitcher,one
3267,Kendry Flores,MIA,Flores,Kendry,2017,12118,flores001ken,2015,2016,2009,2023,pitcher,one
5256,Trey Lambert,MIA,Lambert,Trey,2017,,lamber000tre,,,2014,2016,pitcher,one
3154,Juancito Martinez,MIA,Martinez,Juancito,2017,,martin016jua,,,2008,2016,pitcher,one
