internal_id,player_name,first_name,last_name,has_suffix,team,fa_class,position,normed_position,minor_league_level
913,Chan Moon,Chan,Moon,false,HOU,2017,2B,batter,AAA
1062,Clayton Mortensen,Clayton,Mortensen,false,KCR,2017,RHP,pitcher,AAA
401,Aroni Nina,Aroni,Nina,false,KCR,2017,RHP,pitcher,AA
475,Benino Pruneda,Benino,Pruneda,false,KCR,2017,RHP,pitcher,AAA
4169,Nick Tepesch,Nick,Tepesch,false,KCR,2017,RHP,pitcher,AAA
2775,John Lannan,John,Lannan,false,KCR,2017,LHP,pitcher,AAA
446,Balbino Fuenmayor,Balbino,Fuenmayor,false,KCR,2017,1B,batter,AAA
2172,Irving Falu,Irving,Falu,false,KCR,2017,2B,batter,AAA
316,Angel Franco,Angel,Franco,false,KCR,2017,2B,batter,AAA
5030,Steve Tolleson,Steve,Tolleson,false,KCR,2017,2B,batter,AAA
4234,Orlando Calixte,Orlando,Calixte,false,KCR,2017,SS,batter,AAA
1597,Dusty Coleman,Dusty,Coleman,false,KCR,2017,SS,batter,AAA
808,Carlos Garcia,Carlos,Garcia,false,KCR,2017,OF,batter,AA
1979,Geoff Broussard,Geoff,Broussard,false,LAA,2017,RHP,pitcher,AAA
2951,Jose Feliz,Jose,Feliz,false,LAA,2017,RHP,pitcher,DSL
4069,Nate Fury,Nate,Fury,false,LAA,2017,RHP,pitcher,AA
1199,D.J. Johnson,D. J.,Johnson,false,LAA,2017,RHP,pitcher,AA
3375,Kyle Kendrick,Kyle,Kendrick,false,LAA,2017,RHP,pitcher,AAA
5580,Yunesky Maya,Yunesky,Maya,false,LAA,2017,RHP,pitcher,AAA
5627,Zach Nuding,Zach,Nuding,false,LAA,2017,RHP,pitcher,AA
2646,Jhonny Polanco,Jhonny,Polanco,false,LAA,2017,RHP,pitcher,Lo A
3079,Josh Roenicke,Josh,Roenicke,false,LAA,2017,RHP,pitcher,AAA
1819,Eury Sanchez,Eury,Sanchez,false,LAA,2017,RHP,pitcher,Lo A
1398,David Trexler,David,Trexler,false,LAA,2017,RHP,pitcher,R
982,Chris Jones,Chris,Jones,false,LAA,2017,LHP,pitcher,AAA
2989,Jose Molina,Jose,Molina,false,LAA,2017,LHP,pitcher,AA
643,Brett Oberholtzer,Brett,Oberholtzer,false,LAA,2017,LHP,pitcher,AAA
1673,Edward Paredes,Edward,Paredes,false,LAA,2017,LHP,pitcher,AA
5401,Webster Rivas,Webster,Rivas,false,LAA,2017,C,batter,Hi A
4766,Ryan Scott,Ryan,Scott,false,LAA,2017,C,batter,Lo A
334,Angelo Amendolare,Angelo,Amendolare,false,LAA,2017,2B,batter,Hi A
4882,Sean Coyle,Sean,Coyle,false,LAA,2017,2B,batter,AA
360,Anthony Phillips,Anthony,Phillips,false,LAA,2017,SS,batter,AA
432,Austin Cousino,Austin,Cousino,false,LAA,2017,OF,batter,AAA
2229,Jabari Henry,Jabari,Henry,false,LAA,2017,OF,batter,AA
3462,Logan Bawcom,Logan,Bawcom,false,LAD,2017,RHP,pitcher,AAA
3454,Lisalverto Bonilla,Lisalverto,Bonilla,false,LAD,2017,RHP,pitcher,AAA
1261,Daniel Corcino,Daniel,Corcino,false,LAD,2017,RHP,pitcher,AA
199,Alfredo Figaro,Alfredo,Figaro,false,LAD,2017,RHP,pitcher,AAA
4915,Seth Frankoff,Seth,Frankoff,false,LAD,2017,RHP,pitcher,AAA
1842,Felipe Gonzalez,Felipe,Gonzalez,false,LAD,2017,RHP,pitcher,Hi A
2554,Jeremy Kehrt,Jeremy,Kehrt,false,LAD,2017,RHP,pitcher,AA
3056,Josh Kimborowicz,Josh,Kimborowicz,false,LAD,2017,RHP,pitcher,R
4802,Sam LeCure,Sam,LeCure,false,LAD,2017,RHP,pitcher,AAA
2063,Gus Schlosser,Gus,Schlosser,false,LAD,2017,RHP,pitcher,AA
5150,Tim Shibuya,Tim,Shibuya,false,LAD,2017,RHP,pitcher,Hi A
148,Alex Burgos,Alex,Burgos,false,LAD,2017,LHP,pitcher,Hi A
2507,Jeff Malm,Jeff,Malm,false,LAD,2017,LHP,pitcher,AA
2884,Jordan Schafer,Jordan,Schafer,false,LAD,2017,LHP,pitcher,AAA
4962,Shawn Zarraga,Shawn,Zarraga,false,LAD,2017,C,batter,AAA
3413,Lars Anderson,Lars,Anderson,false,LAD,2017,1B,batter,AA
3099,Josmar Cordero,Josmar,Cordero,false,LAD,2017,1B,batter,AAA
1217,Dalton DiNatale,Dalton,DiNatale,false,LAD,2017,1B,batter,AA
583,Brandon Hicks,Brandon,Hicks,false,LAD,2017,2B,batter,AAA
