player_name,team,fa_class,position,minor_league_level,internal_id,first_name_lower,last_name_lower,normed_position
Ryan Mount,Los Angeles Dodgers,2013,3B,AA,1451,ryan,mount,batter
Matt Angle,Los Angeles Dodgers,2013,OF,AAA,1125,matt,angle,batter
Tony Gwynn Jr.,Los Angeles Dodgers,2013,OF,AAA,1586,tony,gwynn jr.,batter
Jeremy Moore,Los Angeles Dodgers,2013,OF,AAA,758,jeremy,moore,batter
Jonathan Albaladejo,Miami Marlins,2013,RHP,AAA,839,jonathan,albaladejo,pitcher
Jose Ceda,Miami Marlins,2013,RHP,AAA,869,jose,ceda,pitcher
Jay Jackson,Miami Marlins,2013,RHP,AAA,725,jay,jackson,pitcher
Adam Reifer,Miami Marlins,2013,RHP,AAA,14,adam,reifer,pitcher
Rob Waite,Miami Marlins,2013,RHP,AAA,1399,rob,waite,pitcher
Ramon Benjamin*,Miami Marlins,2013,LHP,AA,1354,ramon,benjamin,pitcher
Jose Ceballos*,Miami Marlins,2013,C,Hi A,868,jose,ceballos,batter
Ben Lasater,Miami Marlins,2013,1B,AAA,140,ben,lasater,batter
Joe Mahoney,Miami Marlins,2013,1B,AAA,805,joe,mahoney,batter
Kevin Kouzmanoff,Miami Marlins,2013,3B,AAA,997,kevin,kouzmanoff,batter
Audy Ciriaco,Miami Marlins,2013,SS,AA,125,audy,ciriaco,batter
Chris Gutierrez,Miami Marlins,2013,SS,AA,320,chris,gutierrez,batter
Rony Peralta,Miami Marlins,2013,SS,Hi A,1421,rony,peralta,batter
Michael Main,Miami Marlins,2013,OF,AA,1179,michael,main,batter
Jake Smolinski,Miami Marlins,2013,OF,AAA,687,jake,smolinski,batter
Frankie de la Cruz,Milwaukee Brewers,2013,RHP,AA,588,frankie,de la cruz,pitcher
Tim Dillard,Milwaukee Brewers,2013,RHP,AAA,1566,tim,dillard,pitcher
Johnnie Lowe,Milwaukee Brewers,2013,RHP,AAA,830,johnnie,lowe,pitcher
Santo Manzanillo,Milwaukee Brewers,2013,RHP,AAA,1473,santo,manzanillo,pitcher
Josh Ravin,Milwaukee Brewers,2013,RHP,AAA,919,josh,ravin,pitcher
Mark Rogers,Milwaukee Brewers,2013,RHP,Hi A,1116,mark,rogers,pitcher
Jesus Sanchez,Milwaukee Brewers,2013,RHP,AAA,776,jesus,sanchez,pitcher
R.J. Seidel,Milwaukee Brewers,2013,RHP,AAA,1336,r.j.,seidel,pitcher
Zach Kroenke,Milwaukee Brewers,2013,LHP,AAA,1687,zach,kroenke,pitcher
Aaron Laffey,Milwaukee Brewers,2013,LHP,AAA,5,aaron,laffey,pitcher
Travis Webb,Milwaukee Brewers,2013,LHP,AAA,1599,travis,webb,pitcher
Anderson de la Rosa,Milwaukee Brewers,2013,C,AAA,69,anderson,de la rosa,batter
Ozzie Chavez,Milwaukee Brewers,2013,SS,AAA,1296,ozzie,chavez,batter
Blake Davis,Milwaukee Brewers,2013,SS,AAA,149,blake,davis,batter
Brock Kjeldgaard,Milwaukee Brewers,2013,OF,AA,228,brock,kjeldgaard,batter
Micah Owings,Milwaukee Brewers,2013,OF,AA,1171,micah,owings,batter
Rene Tosoni,Milwaukee Brewers,2013,OF,AA,1377,rene,tosoni,batter
Nick Blackburn,Minnesota Twins,2013,RHP,AAA,1266,nick,blackburn,pitcher
Kyle Davies,Minnesota Twins,2013,RHP,AA,1013,kyle,davies,pitcher
Cole DeVries,Minnesota Twins,2013,RHP,AAA,350,cole,devries,pitcher
Deolis Guerra*,Minnesota Twins,2013,RHP,AAA,446,deolis,guerra,pitcher
Miguel Munoz,Minnesota Twins,2013,RHP,Hi A,1191,miguel,munoz,pitcher
Dan Sattler,Minnesota Twins,2013,RHP,AA,391,dan,sattler,pitcher
Manuel Soliman,Minnesota Twins,2013,RHP,Hi A,1095,manuel,soliman,pitcher
Tom Stuifbergen,Minnesota Twins,2013,RHP,AA,1579,tom,stuifbergen,pitcher
Dan Turpen,Minnesota Twins,2013,RHP,AA,392,dan,turpen,pitcher
Nelvin Fuentes,Minnesota Twins,2013,LHP,Hi A,1259,nelvin,fuentes,pitcher
Pedro Hernandez,Minnesota Twins,2013,LHP,AAA,1319,pedro,hernandez,pitcher
Jeff Clement,Minnesota Twins,2013,1B,AAA,733,jeff,clement,batter
Eric Farris,Minnesota Twins,2013,2B,AAA,540,eric,farris,batter
Ray Olmedo,Minnesota Twins,2013,SS,AAA,1367,ray,olmedo,batter
Brian Dinkelman,Minnesota Twins,2013,OF,AAA,216,brian,dinkelman,batter
Jhonathan Goncalves,Minnesota Twins,2013,OF,Hi A,783,jhonathan,goncalves,batter
Angel Morales,Minnesota Twins,2013,OF,AA,91,angel,morales,batter
Jordan Parraz,Minnesota Twins,2013,OF,AA,859,jordan,parraz,batter
Antoan Richardson,Minnesota Twins,2013,OF,AAA,111,antoan,richardson,batter
Giancarlo Alvarado,New York Mets,2013,RHP,AAA,605,giancarlo,alvarado,pitcher
Greg Burke,New York Mets,2013,RHP,AAA,613,greg,burke,pitcher
Matt Fox,New York Mets,2013,RHP,AAA,1136,matt,fox,pitcher
D.J. Mitchell,New York Mets,2013,RHP,AAA,379,d.j.,mitchell,pitcher
Dylan Owen,New York Mets,2013,RHP,AA,492,dylan,owen,pitcher
Armando Rodriguez,New York Mets,2013,RHP,AA,120,armando,rodriguez,pitcher
